import time: self [us] | cumulative | imported package
import time:     13229 |      29219 |             numpy.random.mtrand
import time:      6947 |       6947 |             numpy.random._philox
import time:      7552 |       7552 |             numpy.random._pcg64
import time:      7607 |       7607 |             numpy.random._sfc64
import time:     16265 |      16265 |             numpy.random._generator
import time:       410 |      95438 |           numpy.random._pickle
import time:       628 |      96066 |         numpy.random
import time:      2695 |      98760 |       pandas._typing
import time:       844 |        844 |       pandas.util._exceptions
import time:      1256 |     100859 |     pandas._config.config
import time:       615 |        615 |     pandas._config.dates
import time:        59 |         59 |         _locale
import time:       732 |        791 |       locale
import time:       502 |       1292 |     pandas._config.display
import time:       920 |     103685 |   pandas._config
import time:       785 |        785 |     pandas.core
import time:      1025 |       1810 |   pandas.core.config_init
import time:      6036 |       6036 |       pandas._libs.pandas_parser
import time:      5779 |       5779 |       pandas._libs.pandas_datetime
import time:      7555 |       7555 |                   pandas._libs.tslibs.ccalendar
import time:      8788 |       8788 |                   pandas._libs.tslibs.np_datetime
import time:      8581 |      24924 |                 pandas._libs.tslibs.dtypes
import time:      6526 |       6526 |                   pandas._libs.tslibs.base
import time:      8590 |       8590 |                       pandas._libs.tslibs.nattype
import time:       661 |        661 |                           pandas.compat._optional
import time:       226 |        226 |                             zoneinfo._tzpath
import time:       142 |        142 |                             zoneinfo._common
import time:      2594 |       2594 |                             _zoneinfo
import time:       212 |       3173 |                           zoneinfo
import time:      1063 |       1063 |                               six
import time:        26 |         26 |                               six.moves
import time:       759 |        759 |                               dateutil.tz._common
import time:       443 |        443 |                               dateutil.tz._factories
import time:        16 |         16 |                                 six.moves.winreg
import time:       434 |        449 |                               dateutil.tz.win
import time:      1751 |       4490 |                             dateutil.tz.tz
import time:       363 |       4852 |                           dateutil.tz
import time:      7832 |      16517 |                         pandas._libs.tslibs.timezones
import time:       628 |        628 |                             calendar
import time:      1049 |       1676 |                           _strptime
import time:      2545 |       2545 |                               fcntl
import time:        83 |         83 |                               msvcrt
import time:      2632 |       2632 |                               _posixsubprocess
import time:       530 |       5789 |                             subprocess
import time:       584 |       6372 |                           pandas._config.localization
import time:      9203 |      17250 |                         pandas._libs.tslibs.fields
import time:     10675 |      44441 |                       pandas._libs.tslibs.timedeltas
import time:      9586 |       9586 |                       pandas._libs.tslibs.tzconversion
import time:        86 |         86 |                       backports_abc
import time:     12022 |      74723 |                     pandas._libs.tslibs.timestamps
import time:        61 |         61 |                     backports_abc
import time:      6848 |       6848 |                     pandas._libs.properties
import time:     16831 |      98461 |                   pandas._libs.tslibs.offsets
import time:        86 |         86 |                     backports_abc
import time:       243 |        243 |                         dateutil._common
import time:      1222 |       1465 |                       dateutil.parser._parser
import time:       403 |        403 |                       dateutil.parser.isoparser
import time:       508 |       2375 |                     dateutil.parser
import time:     10433 |      10433 |                     pandas._libs.tslibs.strptime
import time:     10979 |      23871 |                   pandas._libs.tslibs.parsing
import time:      9370 |     138226 |                 pandas._libs.tslibs.conversion
import time:     11469 |      11469 |                 pandas._libs.tslibs.period
import time:      8561 |       8561 |                 pandas._libs.tslibs.vectorized
import time:       702 |     183879 |               pandas._libs.tslibs
import time:        30 |     183909 |             pandas._libs.tslibs.nattype
import time:      6178 |       6178 |             pandas._libs.ops_dispatch
import time:      8064 |     198150 |           pandas._libs.missing
import time:     28524 |     226674 |         pandas._libs.hashtable
import time:     21475 |      21475 |         pandas._libs.algos
import time:     18113 |     266261 |       pandas._libs.interval
import time:       683 |     278757 |     pandas._libs
import time:       675 |        675 |       pandas.core.dtypes
import time:     13154 |      13154 |       pandas._libs.lib
import time:       975 |        975 |       pandas.errors
import time:       738 |        738 |         pandas.core.dtypes.generic
import time:       622 |       1359 |       pandas.core.dtypes.base
import time:       543 |        543 |       pandas.core.dtypes.inference
import time:      1327 |      18031 |     pandas.core.dtypes.dtypes
import time:       675 |        675 |       pandas.core.dtypes.common
import time:       581 |       1255 |     pandas.core.dtypes.missing
import time:       646 |        646 |       pandas.util._decorators
import time:       542 |        542 |           pandas.io
import time:       468 |       1009 |         pandas.io._util
import time:       814 |       1822 |       pandas.core.dtypes.cast
import time:       453 |        453 |         pandas.core.dtypes.astype
import time:       550 |       1003 |       pandas.core.dtypes.concat
